Kota,Waktu,PM2.5 (µg/m³),PM10 (µg/m³),SO2 (µg/m³),CO (µg/m³),NO2 (µg/m³),Ozon (µg/m³)
Kota Surabaya,2026-02-22 10:00:00,11.3,12.33,0.48,504.05,3.96,48.59
Kota Surabaya,2026-02-22 11:00:00,9.57,10.44,0.41,458.35,3.45,49.33
Kota Surabaya,2026-02-22 12:00:00,8.02,8.67,0.34,406.53,2.76,50.87
Kota Surabaya,2026-02-22 13:00:00,7.3,7.81,0.3,363.18,2.24,51.73
Kota Surabaya,2026-02-22 14:00:00,7.06,7.57,0.3,332.81,2.1,50.96
Kota Surabaya,2026-02-22 15:00:00,6.61,7.18,0.31,306.93,2.1,48.65
Kota Surabaya,2026-02-22 16:00:00,5.52,6.1,0.29,274.66,1.91,46.23
Kota Surabaya,2026-02-22 17:00:00,4.18,4.74,0.28,242.25,1.77,42.43
Kota Surabaya,2026-02-22 18:00:00,2.96,3.54,0.28,216.57,1.69,38.28
Kota Surabaya,2026-02-22 19:00:00,2.13,2.82,0.27,197.18,1.57,34.46
Kota Surabaya,2026-02-22 20:00:00,1.67,2.48,0.27,185.13,1.5,31.19
Kota Surabaya,2026-02-22 21:00:00,1.42,2.3,0.27,178.85,1.47,28.66
Kota Surabaya,2026-02-22 22:00:00,1.24,2.15,0.26,173.09,1.41,26.86
Kota Surabaya,2026-02-22 23:00:00,1.1,1.95,0.25,168.31,1.34,25.61
Kota Surabaya,2026-02-23 00:00:00,0.93,1.57,0.21,161.34,1.19,24.91
Kota Surabaya,2026-02-23 01:00:00,0.79,1.31,0.19,155.97,1.03,24.73
Kota Surabaya,2026-02-23 02:00:00,0.71,1.16,0.16,151.68,0.87,25.22
Kota Surabaya,2026-02-23 03:00:00,0.71,1.13,0.14,153.73,0.79,26.23
Kota Surabaya,2026-02-23 04:00:00,0.84,1.26,0.14,161.04,0.78,27.52
Kota Surabaya,2026-02-23 05:00:00,1.07,1.49,0.15,173.19,0.88,28.6
Kota Surabaya,2026-02-23 06:00:00,1.52,2.05,0.2,193.39,1.2,28.85
Kota Surabaya,2026-02-23 07:00:00,2.25,3.17,0.31,225.22,1.81,28.37
Kota Surabaya,2026-02-24 08:00:00,6.71,8.05,0.59,304.88,2.87,44.01
Kota Surabaya,2026-02-24 09:00:00,7.36,8.76,0.66,332.2,3.31,43.41
Kota Surabaya,2026-02-24 10:00:00,8.04,9.29,0.64,349.96,3.38,43.39
Kota Surabaya,2026-02-24 11:00:00,7.84,8.82,0.54,340.13,2.91,43.57
Kota Surabaya,2026-02-24 12:00:00,6.11,7.03,0.47,298.57,2.21,42.05
Kota Surabaya,2026-02-24 13:00:00,4.53,5.42,0.44,259.21,1.65,40.3
Kota Surabaya,2026-02-24 14:00:00,3.5,4.41,0.42,232.31,1.36,38.83
Kota Surabaya,2026-02-24 15:00:00,2.85,3.83,0.44,220.93,1.48,35.82
Kota Surabaya,2026-02-24 16:00:00,2.51,3.54,0.48,221.14,1.82,32.91
Kota Surabaya,2026-02-24 17:00:00,2.3,3.33,0.52,226.05,2.29,29.88
Kota Surabaya,2026-02-24 18:00:00,2.26,3.31,0.55,227.74,2.54,27.8
Kota Surabaya,2026-02-24 19:00:00,2.37,3.47,0.51,220.97,2.36,27.24
Kota Surabaya,2026-02-24 20:00:00,2.36,3.48,0.41,204.63,1.87,27.48
Kota Surabaya,2026-02-24 21:00:00,2.3,3.46,0.36,199.89,1.7,27.37
Kota Surabaya,2026-02-24 22:00:00,2.11,3.28,0.33,198.85,1.63,27.03
Kota Surabaya,2026-02-24 23:00:00,1.88,2.9,0.31,200.99,1.61,26.58
Kota Surabaya,2026-02-25 00:00:00,1.75,2.48,0.28,204.73,1.52,26.47
Kota Surabaya,2026-02-25 01:00:00,1.83,2.39,0.28,212.18,1.41,26.82
Kota Surabaya,2026-02-25 02:00:00,2.3,3.03,0.33,231.78,1.7,26.71
