nama_wilayah,latitude,longitude
Kota Surabaya,-7.2504,112.7688
Kota Malang,-7.9839,112.6214
Kabupaten Malang,-8.1667,112.5833
Kota Batu,-7.8671,112.5239
Kabupaten Sidoarjo,-7.4478,112.7183
Kabupaten Gresik,-7.1558,112.655
Kabupaten Bangkalan,-7.0255,112.9397
Kabupaten Sampang,-7.05,113.25
Kabupaten Pamekasan,-7.1667,113.4833
Kabupaten Sumenep,-7.0167,113.8667
Kota Mojokerto,-7.4667,112.4333
Kabupaten Mojokerto,-7.55,112.4333
Kabupaten Jombang,-7.55,112.2333
Kabupaten Bojonegoro,-7.15,111.8833
Kabupaten Tuban,-6.8976,112.0649
Kabupaten Lamongan,-7.1167,112.4167
Kota Madiun,-7.6298,111.5239
Kabupaten Madiun,-7.6167,111.65
Kabupaten Ngawi,-7.4,111.45
Kabupaten Magetan,-7.65,111.3333
Kabupaten Ponorogo,-7.8667,111.4667
Kabupaten Pacitan,-8.2,111.1167
Kota Kediri,-7.8167,112.0167
Kabupaten Kediri,-7.8167,112.0
Kabupaten Nganjuk,-7.6,111.9
Kota Blitar,-8.0983,112.1681
Kabupaten Blitar,-8.1333,112.2167
Kabupaten Tulungagung,-8.0667,111.9
Kabupaten Trenggalek,-8.05,111.7167
Kota Pasuruan,-7.6453,112.9075
Kabupaten Pasuruan,-7.7333,112.8333
Kota Probolinggo,-7.75,113.2167
Kabupaten Probolinggo,-7.7667,113.3333
Kabupaten Lumajang,-8.1333,113.2167
Kabupaten Jember,-8.17,113.7
Kabupaten Bondowoso,-7.9167,113.8167
Kabupaten Situbondo,-7.7167,114.0
Kabupaten Banyuwangi,-8.2192,114.3692
